OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FID,Id,X,Y
1144,-1,24,0.052809911896408,1,24,0,-96.937500000000000,30.187500000000000
1145,-1,71,0.044049970375841,1,71,0,-97.062500000000000,30.562500000000000
1146,-1,87,0.056850295576105,1,87,0,-97.062500000000000,30.687500000000000
1147,-1,27,0.047011373239770,1,27,0,-96.562500000000000,30.187500000000000
1148,-1,26,0.060991629910983,1,26,0,-96.687500000000000,30.187500000000000
1149,-1,60,0.059728472028307,1,60,0,-96.437500000000000,30.437500000000000
1150,-1,60,0.064152986968820,1,60,0,-96.437500000000000,30.437500000000000
1151,-1,42,0.038461495041843,1,42,0,-96.687500000000000,30.312500000000000
1152,-1,42,0.062625404497044,1,42,0,-96.687500000000000,30.312500000000000
1153,-1,25,0.046342488177747,1,25,0,-96.812500000000000,30.187500000000000
1154,-1,24,0.034082889742824,1,24,0,-96.937500000000000,30.187500000000000
1155,-1,71,0.038724279263274,1,71,0,-97.062500000000000,30.562500000000000
1156,-1,88,0.057331083029627,1,88,0,-96.937500000000000,30.687500000000000
1157,-1,60,0.058726255191726,1,60,0,-96.437500000000000,30.437500000000000
1158,-1,60,0.051266735985495,1,60,0,-96.437500000000000,30.437500000000000
1159,-1,42,0.044770876939433,1,42,0,-96.687500000000000,30.312500000000000
1160,-1,42,0.051863463247884,1,42,0,-96.687500000000000,30.312500000000000
1161,-1,38,0.054383706953462,1,38,0,-97.187500000000000,30.312500000000000
1162,-1,53,0.084363278806543,1,53,0,-97.312500000000000,30.437500000000000
1163,-1,23,0.070750529145849,1,23,0,-97.062500000000000,30.187500000000000
1164,-1,40,0.075093425784242,1,40,0,-96.937500000000000,30.312500000000000
1165,-1,24,0.012975585608080,1,24,0,-96.937500000000000,30.187500000000000
1166,-1,24,0.033796920656899,1,24,0,-96.937500000000000,30.187500000000000
1167,-1,24,0.061504228829309,1,24,0,-96.937500000000000,30.187500000000000
1168,-1,54,0.048811224773887,1,54,0,-97.187500000000000,30.437500000000000
