OBJECTID,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,Shape_Length,Shape_Area
71,TX491,7,CrB,373535,1736.352905394437357,88476.681270981120178
72,TX491,7,BeB,373522,5568.289472860425121,334520.041458006191533
73,TX491,7,RoC,373571,3025.559956456027976,398706.996743874624372
74,TX491,7,RoC,373571,691.019104433571783,22997.494506811752217
75,TX491,7,RoC,373571,848.358557765007504,26881.106050493890507
76,TX491,7,AxC3,373521,1061.114793022009735,17114.928009656592621
77,TX491,7,WlB,373581,1594.267437182581261,114634.345193964880309
78,TX491,7,RbtF,373539,9866.844995472938535,602855.089002341963351
79,TX491,7,RaB,373569,905.203889737447867,38192.331840843653481
80,TX491,7,AxC3,373521,13888.325524777585088,1950387.024381600320339
81,TX491,7,RoC,373571,827.818881131969874,43045.860743930024910
82,TX491,7,RoC,373571,1276.695161018485123,88202.685349964362103
83,TX491,7,AxC3,373521,1096.704331230696880,82178.641180056263693
84,TX491,7,AxC3,373521,1488.388285317520058,83020.062302285077749
85,TX491,7,RoC,373571,598.246919603159768,21137.429247100884822
86,TX491,7,DfA,373538,3833.855796585107328,199362.702067300037015
87,TX491,7,BeC3,373523,8459.165886536062317,559697.741274787229486
88,TX491,7,HoB,373560,1478.941495431312887,51537.081063034711406
89,TX491,7,CrC3,373536,5625.657940981039246,553184.279500234173611
90,TX491,7,RbtF,373539,2612.167945691630848,133797.019288500479888
91,TX491,7,AxC3,373521,3729.499422944614707,380452.713426896079909
92,TX491,7,CrC3,373536,2046.801007247550615,144129.019537595479051
93,TX491,7,RoC,373571,1325.228290314254991,42560.812524395092623
94,TX491,7,CrB,373535,1380.744964919671474,77535.247226204388426
95,TX491,7,RaB,373569,860.951983134901411,40406.230078876855259
96,TX491,7,AxC3,373521,1062.085831149076284,42675.125744860095438
97,TX491,7,RbtF,373539,2479.701769125791088,147542.929071846039733
98,TX491,7,CrC3,373536,779.601419757118492,30352.326792711915914
99,TX491,7,RaB,373569,4777.027587023094384,288673.244974233966786
100,TX491,7,RbtF,373539,1755.502366776611780,160245.926648990192916
101,TX491,7,BeB,373522,3341.703728592802690,296924.362783305929042
102,TX491,7,HeiD3,373557,13889.881532852768942,923458.591186631936580
103,TX491,7,BeC3,373523,5305.145153845322056,414511.727880679303780
104,TX491,7,HedC2,373556,2264.252522361824958,115450.728408360824687
105,TX491,7,WlB,373581,572.154687335557355,18349.006673232077446
106,TX491,7,HedC2,373556,987.033989945676012,42940.355207117361715
107,TX491,7,HedC2,373556,2236.048051029106318,164595.733047942252597
108,TX491,7,RaB,373569,982.302915438500918,53957.467026310499932
109,TX491,7,RkD,373570,3830.385646170842392,317807.105831521621440
110,TX491,7,BeC3,373523,2500.006580280145045,96650.488222112398944
111,TX491,7,WlA,373580,1723.135600911725760,93026.321141433261801
112,TX491,7,FhF2,373552,913.188477533279865,47007.327830820941017
113,TX491,7,HeiD3,373557,1556.189428851916091,84466.079123010684270
114,TX491,7,DfA,373538,3419.051123261111570,142190.662114967446541
115,TX491,7,BeB,373522,2144.487766474543150,152028.733578391023912
116,TX491,7,CrC3,373536,1428.061181119837102,70027.412512724331464
117,TX491,7,CrC3,373536,1308.526973324710298,98385.846050499691046
118,TX491,7,DfA,373538,3996.558535937329452,210719.191429694619728
119,TX491,7,RaB,373569,2728.213772692150087,98200.329684296637424
120,TX491,7,BeC3,373523,18442.342001000422897,1833031.973305319901556
121,TX491,7,CrB,373535,2592.995515645497107,147826.737321257009171
122,TX491,7,HeiD3,373557,1216.048963045494702,76166.567334527382627
123,TX491,7,BeB,373522,6387.973301923651889,476681.042503465432674
124,TX491,7,AxC3,373521,1789.004342510866081,104622.618906950679957
125,TX491,7,CrB,373535,1557.367277771068757,80053.961583096548566
126,TX491,7,CrC3,373536,4411.649016731513257,640484.891120341722853
127,TX491,7,RoC,373571,1853.339846618486263,133327.688050532538909
128,TX491,7,CrC3,373536,1840.472728532284691,127631.987846788455499
129,TX491,7,RoC,373571,926.448724852297460,54736.619851960924279
130,TX491,7,RaB,373569,1486.001338263410844,77860.574821351168794
131,TX491,7,RkD,373570,1134.518726155435843,52037.755292104666296
132,TX491,7,RoC,373571,12008.642741828300132,1507537.937061614124104
133,TX491,7,RaB,373569,2676.759540626709168,271082.399587606196292
134,TX491,7,RbtF,373539,11325.221121124697675,1262909.699270312674344
135,TX491,7,PaD,373567,478.300048843027980,17367.673362993158662
136,TX491,7,RkD,373570,772.600690044065459,38140.478443139021692
137,TX491,7,PaD,373567,1451.592777318565368,79630.365007272106595
138,TX491,7,RoC,373571,1050.050170192786709,61552.392404079568223
139,TX491,7,WlB,373581,1046.632997077310620,59328.676345782943827
140,TX491,7,CrB,373535,3222.405709069434579,199930.701282770809485
141,TX491,7,RaB,373569,2068.286787352662486,89570.805144022917375
142,TX491,7,CrB,373535,794.041999004712238,32251.662091814956511
143,TX491,7,HeiD3,373557,9158.491017693033427,566969.857939795241691
144,TX491,7,HeiD3,373557,297.015111850367873,2828.170320724939756
145,TX491,7,WlB,373581,1209.392583735642802,88360.007460014312528
146,TX491,7,BeC3,373523,191.364542857221977,2055.614983190819203
147,TX491,7,PaD,373567,3427.410091977711545,350565.015718269627541
148,TX491,7,RoC,373571,1698.152045395778259,75325.176645567218657
149,TX491,7,DfA,373538,14693.909726683710687,901859.273869257303886
150,TX491,7,RoC,373571,2825.512626655226995,247436.406003249983769
151,TX491,7,AxC3,373521,1564.432753277810889,103357.609209151021787
152,TX491,7,RbtF,373539,3884.925795332053895,401309.328459347714670
153,TX491,7,RaB,373569,1839.788592018064946,133517.571722435706761
154,TX491,7,BeC3,373523,767.826863087073889,21071.009851207458269
155,TX491,7,BeB,373522,1212.405269607322452,58458.513427262470941
156,TX491,7,WlA,373580,1260.832665116012549,83160.084775289680692
157,TX491,7,CrC3,373536,4573.552108889910414,321446.463428904884495
158,TX491,7,RkD,373570,2006.372804649273121,72733.833382896904368
159,TX491,7,CrB,373535,581.289118047882425,22347.535607774403616
160,TX491,7,AxC3,373521,740.705519495130261,26720.861614243534859
161,TX491,7,CaB,373531,818.397555316531680,39215.104764270588930
162,TX491,7,HeiD3,373557,3293.128924858703158,185935.631218046357390
163,TX491,7,BeC3,373523,1725.162331890486485,110764.158914328552783
164,TX491,7,AxC3,373521,2436.913887286676982,138712.594080365699483
165,TX491,7,WlB,373581,1213.671640865514064,54406.628563867125195
166,TX491,7,BeB,373522,15117.979093152869609,956384.070022597559728
167,TX491,7,RaB,373569,964.147702703624304,44063.302465248547378
168,TX491,7,RkD,373570,2180.961843102310013,138076.872174013289623
169,TX491,7,BeC3,373523,647.741805633201693,19155.442747557470284
170,TX491,7,RoC,373571,7003.439033380392175,478092.742354724032339
171,TX491,7,AxC3,373521,780.410667594889219,34887.337342190061463
172,TX491,7,RaB,373569,2770.247159063498657,120194.978043830240495
173,TX491,7,RaB,373569,1533.984652913980881,68905.734231987953535
174,TX491,7,BeB,373522,1498.942166390972716,78958.784683475474594
175,TX491,7,WlB,373581,1254.430232383761904,86979.780960837990278
176,TX491,7,RkD,373570,2074.249402778736567,171952.798620358837070
177,TX491,7,RkD,373570,1539.884293329583443,114896.365761819179170
178,TX491,7,CrC3,373536,705.686566556553089,31610.423879549747653
179,TX491,7,AxC3,373521,2705.654195959991739,227023.214556927443482
